split,tier,method,metric,mean,median,standard_deviation,systems
truth90_validation,all,Linear,Dyn.ligand_torsions.torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.true_invalid_fraction,0.0,0.0,0.0,90
truth90_validation,all,Linear,Dyn.ligand_torsions.true_invalid_fraction,0.0,0.0,0.0,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.true_invalid_fraction,0.0,0.0,0.0,90
truth90_validation,all,QField-Dyn,Dyn.predicted_mean_atom_rmsf_angstrom,0.8766521791726027,0.7405507028407814,0.5343958216151737,90
truth90_validation,all,Linear,Dyn.predicted_mean_atom_rmsf_angstrom,3.3143618549488534,1.4255505834177216,4.913952527873945,90
truth90_validation,all,NeuralMD,Dyn.predicted_mean_atom_rmsf_angstrom,0.11223506726981737,0.06216372991279571,0.12614198742761534,90
truth90_validation,all,QField-Dyn,Dyn.radius_of_gyration_w1_angstrom,0.11057815078721915,0.07703268399334946,0.10126164690946794,90
truth90_validation,all,Linear,Dyn.radius_of_gyration_w1_angstrom,2.942661109028881,0.7946732251040917,6.04580002772702,90
truth90_validation,all,NeuralMD,Dyn.radius_of_gyration_w1_angstrom,0.0996790104055616,0.06195356154560177,0.1207967129580936,90
truth90_validation,all,QField-Dyn,Dyn.rmsd_final_angstrom,2.9874921894762156,1.7073930864316877,3.8624211104065704,90
truth90_validation,all,Linear,Dyn.rmsd_final_angstrom,13.724297510849787,7.134668634592394,20.32203070212188,90
truth90_validation,all,NeuralMD,Dyn.rmsd_final_angstrom,2.673704128880253,1.5410155529923988,3.852074530259487,90
truth90_validation,all,QField-Dyn,Dyn.rmsd_growth_angstrom,1.540251065306108,0.6307592762994234,3.361149132903587,90
truth90_validation,all,Linear,Dyn.rmsd_growth_angstrom,12.479050666315556,5.681754235363176,20.080394898587627,90
truth90_validation,all,NeuralMD,Dyn.rmsd_growth_angstrom,1.5466669890474969,0.589453455181029,3.3496830375672784,90
truth90_validation,all,QField-Dyn,Dyn.rmsd_time_average_angstrom,2.270281049642244,1.6164333882057074,2.14559144552978,90
truth90_validation,all,Linear,Dyn.rmsd_time_average_angstrom,7.4411106167870305,4.30639064557222,10.258967664773754,90
truth90_validation,all,NeuralMD,Dyn.rmsd_time_average_angstrom,1.974206025066976,1.3000025675154976,2.201041872233273,90
truth90_validation,all,QField-Dyn,Dyn.rmsf_mae_angstrom,0.6512187530972937,0.2981057663485899,1.2307316435158207,90
